"X","Y","Z"
1478.49,1297.73,97.61
1478.52,1297.72,97.61
1478.14,1297.49,97.66
1479.74,1298.52,98.74
1479.09,1298.81,98.70
1479.58,1298.40,98.45
1479.88,1298.93,98.65
1479.94,1298.28,98.48
1479.40,1297.76,97.82
1479.04,1297.87,97.80
1479.03,1297.86,97.80
1479.59,1297.73,97.66
1479.58,1297.74,97.64
1479.20,1297.52,97.64
1479.29,1297.55,97.64
1478.98,1297.71,97.60
1478.97,1297.73,97.60
1479.83,1297.69,97.51
1479.84,1297.66,97.52
1481.75,1294.94,99.01
1481.76,1294.93,99.01
1481.70,1294.63,98.80
1481.69,1294.63,98.79
1481.42,1294.98,98.44
1481.42,1294.99,98.44
1481.55,1294.70,98.29
1481.23,1294.93,98.22
1481.67,1294.82,97.97
1481.65,1294.91,97.67
1481.68,1294.90,97.67
1481.39,1294.94,97.53
1481.41,1294.93,97.55
1481.70,1294.72,97.60
1481.74,1294.71,97.59
1481.73,1294.68,97.57
1481.77,1294.65,97.56
1481.78,1294.86,97.55
1481.64,1294.74,97.54
1481.63,1294.76,97.54
1481.74,1294.88,97.52
1481.71,1294.89,97.53
1481.62,1294.67,97.50
1481.63,1294.70,97.51
1481.56,1294.85,97.51
1481.52,1294.80,97.50
1481.57,1294.80,97.51
1481.60,1294.70,97.19
1481.67,1294.74,97.50
1481.60,1294.87,97.49
1481.60,1294.85,97.48
1481.35,1294.75,97.48
1481.47,1294.71,97.48
1481.49,1294.70,97.49
1481.41,1294.71,97.47
1481.42,1294.70,97.47
1481.45,1294.68,97.48
1481.43,1294.70,97.47
1481.41,1294.96,97.46
1481.44,1294.94,97.45
1481.44,1294.95,97.46
1481.51,1294.69,97.48
1481.54,1294.70,97.49
1481.54,1294.70,97.49
1481.52,1294.70,97.48
1481.76,1294.91,97.48
1481.74,1294.92,97.49
1481.57,1294.80,97.50
1481.58,1294.80,97.47
1481.84,1294.71,97.44
1481.86,1294.70,97.44
1481.77,1294.86,97.73
1481.77,1294.89,97.72
1481.37,1294.80,97.37
1481.36,1294.81,97.37
1481.39,1294.90,97.38
1481.38,1294.91,97.38
1481.12,1294.98,97.40
1481.11,1294.97,97.40
1481.46,1294.85,97.38
1481.45,1294.88,97.39
1481.77,1294.91,97.37
1481.77,1294.93,97.37
1481.56,1294.96,97.38
1481.56,1294.95,97.39
1481.61,1294.94,97.36
1481.60,1294.93,97.37
1481.80,1294.94,97.38
1481.79,1294.94,97.38
1481.40,1294.68,97.64
1481.42,1294.65,97.63
1481.18,1294.81,97.32
1481.21,1294.81,97.33
1481.29,1294.78,97.34
1481.26,1294.78,97.33
1481.21,1294.90,97.31
1481.22,1294.86,97.31
1481.47,1294.71,97.30
1481.48,1294.74,97.30
1481.41,1294.97,97.31
1481.46,1294.92,97.34
1481.84,1294.72,97.32
1481.83,1294.74,97.33
1481.73,1294.76,97.31
1481.68,1294.71,97.31
1481.62,1294.73,97.31
1481.65,1294.73,97.31
1481.64,1294.81,97.33
1481.68,1294.78,97.31
1481.56,1294.91,97.32
1481.82,1294.92,97.33
1481.84,1294.91,97.32
1481.59,1294.90,97.31
1481.58,1294.91,97.31
1481.55,1294.90,97.31
1481.55,1294.79,97.31
1481.55,1294.83,97.31
1481.54,1294.82,97.31
1481.53,1294.83,97.32
1481.52,1294.82,97.32
1481.51,1294.84,97.31
1481.51,1294.82,97.32
1481.53,1294.80,97.31
1481.49,1294.77,97.30
1481.50,1294.79,97.31
1481.49,1294.80,97.30
1481.49,1294.81,97.31
1481.49,1294.77,97.30
1481.53,1294.87,97.33
1481.52,1294.88,97.31
1481.52,1294.87,97.31
1481.53,1294.87,97.32
1481.52,1294.88,97.31
1481.52,1294.88,97.31
