"X","Y","Z"
1473.35,1296.96,97.91
1474.98,1297.03,98.42
1474.97,1297.02,98.41
1474.85,1297.09,98.45
1474.88,1297.02,98.44
1474.76,1297.03,98.42
1474.64,1297.17,98.43
1474.83,1297.06,98.42
1474.75,1297.04,98.41
1474.93,1297.03,98.41
1474.89,1297.03,98.41
1474.63,1296.80,98.47
1474.65,1296.84,98.48
1474.20,1296.47,98.49
1474.25,1296.48,98.48
1474.15,1296.71,98.48
1474.17,1296.70,98.49
1474.32,1296.49,98.43
1474.30,1296.46,98.45
1474.29,1296.48,98.44
1474.28,1296.47,98.45
1474.28,1296.70,98.56
1474.23,1296.44,98.47
1474.68,1296.74,98.43
1474.66,1296.81,98.43
1474.65,1296.51,98.40
1474.17,1296.03,98.40
1474.14,1296.03,98.39
1474.60,1296.55,98.43
1474.54,1296.44,98.41
1474.74,1296.41,98.46
1474.79,1296.55,98.46
1474.60,1296.18,98.44
1474.96,1296.34,98.42
1474.75,1296.97,98.39
1474.74,1296.84,98.40
1474.77,1296.90,98.39
1474.38,1296.98,98.40
1474.87,1296.38,98.27
1474.89,1296.41,98.27
1474.92,1296.52,98.26
1474.91,1296.51,98.27
1474.35,1296.80,98.29
1474.33,1296.75,98.30
1474.99,1296.57,98.25
1474.95,1296.58,98.25
1474.30,1296.52,98.28
1474.31,1296.53,98.28
1474.17,1296.74,98.24
1474.16,1296.75,98.25
1475.05,1296.98,98.25
1474.65,1296.70,98.25
1474.97,1296.88,98.25
1474.90,1296.81,98.26
1474.66,1296.80,98.27
1474.71,1296.76,98.27
1474.07,1296.92,98.29
1474.14,1297.00,98.30
1474.09,1296.93,98.30
1474.19,1296.89,98.29
1474.32,1296.95,98.26
1474.35,1296.95,98.26
1474.04,1296.78,98.20
1474.05,1296.79,98.19
1474.29,1296.51,98.15
1474.33,1296.52,98.17
1474.36,1296.34,98.14
1474.38,1296.33,98.13
1474.54,1296.92,98.13
1474.56,1296.93,98.13
1474.19,1296.24,98.13
1474.19,1296.24,98.12
1474.57,1296.49,98.12
1474.57,1296.48,98.12
1474.84,1296.33,98.05
1474.68,1296.35,98.06
1474.69,1296.34,98.06
1474.67,1296.37,97.96
1474.66,1296.34,97.95
1474.45,1296.69,97.85
1474.39,1296.70,97.87
1474.34,1296.90,97.77
1474.42,1296.85,97.77
1474.63,1296.33,97.71
1474.59,1296.29,97.72
1474.96,1296.30,97.59
1474.96,1296.30,97.59
1475.04,1297.07,98.25
1475.12,1297.09,98.26
1474.95,1297.35,98.38
1475.04,1297.32,98.37
1475.07,1297.39,98.28
1475.61,1297.02,98.10
1475.58,1297.01,98.10
1475.18,1297.29,98.21
1475.09,1297.30,98.24
1475.11,1297.33,98.20
1475.16,1297.37,98.20
1475.08,1297.35,98.19
1475.00,1297.38,98.24
1475.29,1297.38,98.20
1475.27,1297.38,98.18
1475.63,1297.48,98.87
1475.62,1297.47,98.87
1475.32,1297.17,98.01
1475.56,1297.26,97.85
1475.55,1297.22,97.85
1475.90,1297.07,97.84
1475.78,1297.09,97.80
1475.38,1297.03,97.88
1475.37,1297.01,97.88
1475.02,1296.91,98.26
1475.04,1296.89,98.25
1475.07,1296.32,98.20
1475.05,1296.31,98.19
1475.04,1296.86,98.21
1475.58,1296.84,97.92
1475.62,1296.88,97.92
1475.50,1296.37,97.88
1475.49,1296.37,97.87
1475.82,1296.79,97.90
1475.85,1296.78,97.89
1475.68,1296.82,97.84
1475.65,1296.80,97.82
1475.95,1296.29,97.77
1476.00,1296.25,97.79
1475.18,1296.20,97.76
1475.13,1296.19,97.75
1475.61,1296.64,97.78
